150 8649
57 97 7
146 64 1
18 123 9
78 119 1
57 38 9
98 55 9
86 39 8
5 108 2
53 143 4
128 61 6
100 112 3
122 64 8
54 12 7
49 135 5
72 80 2
125 13 6
123 74 5
9 101 3
141 14 4
149 70 2
132 85 9
99 9 8
100 41 4
21 42 6
72 38 9
130 73 6
109 96 4
109 129 2
10 84 3
50 123 3
105 115 3
0 13 9
39 61 3
118 11 8
111 68 1
98 29 8
84 38 3
67 124 8
91 95 5
12 56 7
137 5 7
115 90 7
42 92 9
77 97 4
44 58 9
32 49 5
84 116 2
65 145 7
6 45 1
102 63 3
83 36 9
135 114 8
24 116 5
77 139 6
61 126 1
19 21 1
46 79 1
126 91 5
38 23 4
27 115 1
22 21 2
10 117 1
52 104 8
131 42 2
91 2 1
55 74 3
15 132 5
38 80 3
93 147 3
71 72 4
35 71 8
39 7 9
16 98 1
81 65 9
11 130 5
50 70 4
112 94 2
109 5 8
56 137 6
18 134 1
104 43 9
131 25 8
132 6 8
76 105 6
125 4 6
87 41 4
100 67 8
104 83 9
90 143 6
66 36 7
47 88 3
14 120 5
76 59 9
41 95 1
75 37 6
136 8 1
53 46 9
38 6 2
77 98 4
51 147 6
10 71 5
78 38 5
81 38 1
34 118 8
99 3 5
97 35 4
88 86 7
5 100 2
53 148 4
85 20 5
88 73 6
80 104 6
78 93 5
108 97 9
3 116 8
56 44 4
133 76 4
116 86 5
85 5 8
145 17 1
49 76 4
41 0 6
122 111 9
131 133 8
11 74 7
49 8 5
18 13 9
105 47 1
75 52 8
88 80 7
113 73 4
57 118 7
108 101 1
58 46 4
2 105 8
33 85 5
130 24 8
133 124 9
91 109 8
13 14 2
74 116 9
104 127 8
117 21 9
30 122 4
78 111 9
103 72 2
61 32 3
76 113 9
131 111 2
44 85 8
70 78 4
60 50 6
15 128 4
60 79 7
59 14 1
113 84 6
103 42 8
117 97 9
41 89 1
50 29 8
107 52 1
33 115 7
94 53 9
76 87 1
132 41 8
69 8 4
18 15 5
66 25 2
112 137 6
81 129 2
84 68 9
92 14 1
52 144 2
117 74 8
136 105 9
144 145 3
61 146 4
104 98 9
87 96 6
44 120 5
5 50 3
59 34 3
89 63 7
17 72 5
64 108 6
117 107 5
11 3 8
99 33 8
21 125 2
18 51 3
71 114 2
118 131 2
97 71 3
24 80 1
112 64 9
34 41 9
140 86 3
104 63 1
141 22 2
109 126 7
6 49 5
123 104 3
127 141 5
93 72 8
125 97 9
105 63 6
36 132 9
12 120 6
39 35 8
59 50 8
101 48 3
142 113 3
6 105 3
31 92 7
23 16 5
0 89 6
84 2 5
119 20 9
80 107 2
14 47 9
63 88 7
130 116 6
104 142 9
17 51 7
27 133 2
20 93 5
133 77 6
2 104 1
92 116 5
17 129 6
118 89 5
84 148 3
13 127 3
57 11 2
70 92 2
98 48 4
123 99 7
12 29 1
148 142 8
78 44 1
17 4 2
103 115 5
68 121 1
89 114 8
90 30 3
69 32 9
140 12 8
139 28 9
90 113 1
54 31 7
132 125 7
99 65 4
93 82 6
43 28 2
97 70 3
39 90 9
46 130 4
64 34 6
124 115 8
141 44 2
96 134 2
74 30 2
1 100 3
7 49 8
5 28 3
77 56 7
58 83 6
24 124 5
39 97 5
29 52 7
135 120 3
114 128 1
16 103 4
62 37 2
147 103 1
9 4 1
20 139 1
86 50 2
115 52 7
121 47 7
99 10 3
146 71 8
116 117 9
30 23 4
127 59 8
84 129 9
68 83 7
147 11 9
39 99 3
130 52 4
68 102 4
11 66 5
60 20 7
148 113 6
85 125 4
25 149 8
75 13 5
107 57 7
118 68 8
73 144 7
98 103 3
130 9 6
15 68 1
82 48 6
34 14 1
144 35 4
61 41 6
119 125 6
72 46 6
30 146 6
148 63 9
83 102 1
27 114 1
53 149 1
15 62 9
17 128 1
126 87 7
56 25 8
65 149 3
139 65 7
120 118 9
20 108 2
97 75 8
68 28 6
47 91 4
84 24 8
144 86 5
69 40 4
33 75 7
35 123 8
94 62 5
97 22 7
40 123 3
106 6 2
37 16 9
5 149 1
19 55 9
95 22 8
137 79 9
31 11 7
82 69 4
3 113 5
122 3 6
90 121 3
128 119 8
95 139 1
34 88 2
109 14 4
32 80 9
28 114 2
63 1 6
96 124 3
67 99 6
137 98 9
76 107 5
119 112 2
16 79 5
25 13 5
16 53 2
116 53 3
102 90 1
138 52 6
108 39 6
73 86 8
48 94 7
62 100 3
28 1 2
14 107 8
4 141 8
125 109 3
69 15 6
99 115 2
85 30 4
51 102 5
54 135 7
36 110 2
3 89 4
142 57 5
37 60 7
4 137 3
51 144 2
67 47 4
16 62 7
1 113 5
52 2 5
105 39 3
42 129 5
119 90 1
133 143 4
125 88 9
13 78 8
87 27 4
60 12 4
98 43 1
149 89 4
89 18 6
134 71 4
123 38 3
139 133 4
81 43 2
120 15 3
7 17 5
116 96 7
132 68 5
44 32 5
109 53 7
57 123 6
83 42 1
61 4 3
49 43 8
77 102 4
62 116 6
1 45 2
45 108 3
117 96 7
137 58 2
102 97 7
127 42 1
46 50 4
45 133 2
99 71 6
84 30 2
8 74 1
32 45 1
107 123 3
7 127 2
69 4 9
113 53 2
64 123 5
144 54 8
17 23 1
123 122 4
58 65 2
132 17 4
66 127 6
12 109 7
129 52 6
94 8 3
130 98 9
14 6 5
38 140 8
133 121 9
44 83 2
7 121 4
74 7 8
116 120 9
144 99 6
19 5 6
41 102 8
33 84 5
49 138 4
26 141 4
108 95 5
15 136 9
66 9 7
27 1 5
33 4 3
145 124 1
52 20 3
48 6 3
79 10 7
17 16 8
122 54 5
75 85 3
127 56 7
65 56 1
8 37 6
55 110 7
122 42 9
39 122 4
119 59 6
25 10 6
130 8 3
112 28 2
23 124 1
81 126 9
68 78 3
131 119 1
127 87 5
63 84 8
39 116 8
135 143 9
43 126 9
2 24 2
10 87 2
50 56 8
69 55 5
65 113 7
17 94 1
5 0 4
142 20 4
138 127 1
42 81 5
86 72 6
149 103 3
131 109 1
69 70 3
41 109 5
0 20 3
124 126 7
68 96 1
126 44 1
77 140 3
145 115 8
134 63 8
110 54 1
122 112 4
111 112 8
19 87 9
53 36 2
148 130 1
72 139 3
106 93 4
37 19 7
1 40 5
50 92 1
112 78 8
53 54 2
119 148 9
61 102 1
133 63 4
101 45 2
88 42 8
134 4 9
7 104 6
78 33 5
144 105 3
131 142 9
143 19 9
96 18 3
111 75 4
80 92 2
106 75 3
116 108 1
36 59 4
64 46 9
79 39 7
14 90 7
91 51 9
40 81 3
97 86 7
55 92 9
113 59 1
78 23 5
55 124 4
137 13 1
71 90 1
0 127 7
134 28 9
64 12 9
34 125 8
80 57 5
127 5 4
135 62 7
137 7 4
34 130 2
121 24 1
14 60 4
63 73 9
121 37 7
123 32 5
45 33 7
40 38 7
105 91 6
128 133 6
71 27 8
121 29 6
141 66 2
10 21 8
119 134 8
120 16 7
96 47 5
3 79 5
102 10 6
46 55 8
91 75 2
3 20 5
93 16 8
44 88 1
32 116 6
15 17 7
56 142 1
129 126 5
62 126 6
130 142 5
114 52 2
135 94 7
22 148 1
59 96 2
50 98 2
133 17 6
101 51 6
19 73 8
40 41 1
123 31 1
3 130 3
34 126 4
35 46 1
37 136 2
130 147 4
28 89 6
105 56 3
34 17 7
110 15 5
84 145 6
19 22 5
82 74 2
3 17 5
106 147 7
37 149 7
51 95 8
92 146 6
119 115 3
143 121 3
86 63 8
142 44 4
134 100 1
137 16 5
135 119 4
18 19 2
8 127 1
35 112 2
120 144 2
104 72 1
20 70 5
128 75 8
0 54 5
32 115 6
137 122 5
41 13 6
29 91 5
135 70 7
40 126 1
121 12 7
43 145 8
134 37 7
110 49 5
135 89 3
21 17 9
13 141 8
132 126 3
83 66 5
129 49 7
107 137 2
16 148 7
113 85 2
28 107 5
11 54 3
88 30 3
88 101 3
90 146 2
28 26 3
16 67 3
125 121 4
98 129 7
113 120 4
109 61 4
17 44 9
26 23 3
118 98 9
56 146 8
9 142 4
9 34 5
13 77 8
88 119 3
71 41 1
88 16 3
7 110 9
11 53 8
117 102 8
101 40 7
84 117 3
130 39 8
86 109 7
2 83 2
59 81 2
59 134 7
104 82 8
110 61 6
12 14 1
55 9 1
39 138 9
3 115 6
3 107 1
23 2 9
19 102 1
140 17 2
141 36 8
102 52 7
24 92 3
147 1 6
100 91 7
5 12 6
47 8 9
59 33 5
21 49 8
110 42 8
89 126 2
133 114 4
73 104 8
18 72 2
24 37 7
58 12 1
39 41 7
76 141 5
59 54 5
47 98 5
146 100 9
39 145 9
0 100 5
96 35 1
23 132 3
62 102 9
32 85 2
50 134 3
1 110 8
89 73 1
91 15 9
20 30 7
123 77 6
22 135 1
141 85 6
38 27 9
139 140 5
21 50 8
132 63 7
133 59 3
52 139 4
79 7 4
105 128 1
138 29 1
14 10 4
15 84 2
53 71 5
96 132 9
134 97 6
87 104 7
45 110 1
120 142 5
83 97 1
43 46 9
125 126 9
50 129 8
148 91 7
87 49 1
78 5 8
122 110 2
30 118 8
66 64 9
28 20 4
59 65 7
33 56 3
32 125 8
70 45 6
53 126 6
44 92 5
98 112 4
50 17 5
108 67 6
6 114 2
15 121 3
134 139 1
19 15 5
53 66 7
16 102 4
25 96 3
58 59 3
72 50 7
75 34 6
107 116 1
85 87 5
19 99 8
43 91 4
72 118 8
70 3 8
9 73 4
137 139 8
112 51 5
16 107 1
54 109 7
114 77 2
121 142 8
148 88 1
34 107 7
91 48 8
16 108 6
11 14 2
149 76 6
64 114 3
76 130 3
46 125 3
43 26 7
63 45 4
119 18 5
71 135 7
6 46 3
65 136 7
59 30 3
42 70 7
26 41 1
67 106 6
105 42 9
106 127 9
67 139 4
127 3 9
149 45 6
148 120 5
77 18 8
37 69 9
67 55 9
45 124 7
38 53 6
41 42 2
24 90 5
5 124 1
60 110 8
71 38 6
8 111 2
141 68 5
50 128 5
81 47 2
51 135 7
27 33 3
132 103 2
39 20 6
114 31 9
45 123 8
79 49 8
19 81 7
143 70 8
30 131 5
55 62 2
78 76 8
126 117 3
132 19 3
27 110 8
121 69 8
32 12 4
123 47 9
111 60 2
115 118 4
32 113 2
57 54 4
145 94 1
43 29 3
8 46 3
18 90 1
60 40 4
64 147 6
24 100 7
40 114 3
74 24 5
106 35 4
9 146 8
42 26 1
110 39 6
145 46 5
38 83 3
109 101 7
114 1 8
53 4 2
148 60 2
34 20 8
113 54 2
18 88 3
120 33 1
43 16 3
34 35 4
120 62 5
54 66 6
25 116 5
137 51 7
66 13 4
20 9 8
28 83 2
138 75 6
28 17 4
80 63 9
33 50 3
63 120 9
81 57 5
127 115 4
65 46 3
34 70 2
107 99 9
58 62 1
127 14 1
37 44 9
103 15 7
113 77 6
40 30 6
64 100 2
140 58 4
132 108 2
97 66 2
43 111 3
16 40 3
132 122 4
12 141 4
48 77 9
12 95 8
2 22 1
11 30 6
143 96 2
14 70 5
134 137 4
39 101 6
64 99 2
13 94 8
17 42 9
127 41 3
137 128 3
98 17 6
98 96 4
1 8 5
51 96 2
126 36 9
81 137 2
42 90 1
132 44 6
136 96 3
90 44 7
12 47 6
30 18 8
66 37 4
101 61 5
53 47 7
74 41 9
99 14 8
133 3 6
124 56 2
27 0 1
102 124 1
35 76 7
14 77 2
82 17 6
5 140 9
41 55 4
63 66 7
14 142 9
72 8 8
4 52 1
149 142 5
114 98 6
67 65 7
26 107 1
75 119 2
113 20 4
149 18 8
4 147 7
2 58 7
133 6 5
18 99 1
95 125 9
31 56 8
110 9 3
88 51 6
114 46 9
9 65 5
142 91 9
43 50 1
58 81 6
15 109 2
138 12 2
43 65 6
102 119 1
86 44 6
133 101 3
53 139 3
105 112 2
108 49 1
70 103 9
45 78 4
33 7 1
89 26 6
24 61 7
40 43 8
33 31 7
82 56 3
39 58 5
16 129 6
59 104 2
120 31 3
93 74 5
44 108 9
128 40 5
16 13 4
69 110 3
52 76 3
99 50 5
124 121 7
137 57 2
111 52 3
139 39 9
95 142 2
52 98 6
100 37 8
122 11 1
74 137 5
26 56 5
86 125 5
76 115 8
101 138 1
5 95 7
130 82 3
67 94 2
26 101 5
57 49 8
125 91 1
100 133 6
127 130 4
125 92 3
47 17 4
53 79 3
51 71 1
91 45 7
141 17 5
15 89 7
35 42 9
30 53 8
117 123 2
2 139 1
36 63 6
76 37 2
137 38 7
142 65 2
137 80 9
131 27 5
64 33 7
148 26 2
34 39 2
3 50 2
116 20 9
70 32 7
64 102 3
123 96 9
93 148 2
100 86 9
57 40 3
130 7 7
7 0 7
124 59 6
101 100 3
20 66 9
59 97 8
90 100 4
95 62 6
71 8 4
17 0 9
9 58 7
20 58 4
76 69 7
45 48 2
78 98 3
101 99 5
125 124 6
32 66 4
103 124 3
50 107 3
17 11 2
125 145 9
135 87 8
62 7 7
30 86 7
43 130 3
110 43 5
30 121 3
93 140 2
10 54 4
8 2 1
78 60 3
96 133 3
97 63 2
4 74 1
15 35 3
34 48 8
42 108 1
54 148 2
56 54 7
26 14 4
109 13 6
132 28 4
117 17 6
132 20 2
16 31 5
25 137 8
57 52 9
115 25 6
104 93 8
29 89 6
72 128 8
138 3 1
60 143 9
123 119 8
139 6 6
138 108 2
136 114 1
0 145 1
49 59 4
27 104 2
52 51 2
19 134 4
86 115 1
21 108 3
103 116 7
66 106 6
114 129 4
83 43 7
41 59 6
10 135 2
24 139 1
101 16 7
44 138 4
28 140 4
4 38 7
120 20 8
24 148 8
35 141 5
5 31 9
113 6 8
113 89 3
125 23 1
85 146 2
77 120 4
138 54 5
66 134 7
116 63 4
110 123 5
58 108 8
86 136 1
18 74 1
34 94 6
71 26 4
40 90 1
128 19 5
100 147 4
0 83 8
75 118 8
118 143 3
143 97 2
134 147 7
36 134 9
38 146 4
38 82 4
51 86 4
36 24 4
91 39 8
50 58 5
95 128 1
103 59 9
108 73 9
94 69 7
124 46 5
142 112 2
51 56 6
105 124 2
44 12 7
125 136 4
47 18 9
96 140 9
13 64 1
126 94 1
23 130 2
143 18 1
134 73 3
8 128 5
93 129 4
29 15 3
66 23 2
101 135 3
40 142 1
97 17 2
148 61 1
1 130 2
68 105 9
81 21 9
33 42 7
34 114 9
2 53 5
106 148 3
2 1 7
147 90 2
43 75 3
101 114 7
103 54 8
115 22 9
82 55 5
29 122 3
105 81 2
34 84 4
109 122 9
14 31 1
32 98 9
19 4 8
98 64 9
147 45 9
25 91 4
51 149 6
95 119 4
46 139 2
111 70 3
149 108 9
69 65 3
27 44 1
20 65 8
16 46 7
91 83 2
2 73 2
76 47 3
89 130 9
71 145 7
116 17 7
9 96 1
134 79 6
36 44 1
139 40 9
66 68 8
124 100 4
73 56 8
76 48 4
146 76 5
66 147 3
126 16 8
25 113 2
52 81 2
99 56 2
90 31 9
92 6 3
33 131 2
22 16 7
104 23 9
34 65 7
98 66 2
101 87 7
11 107 5
90 28 3
8 58 2
89 38 9
147 84 4
63 127 9
118 26 2
112 0 1
19 103 8
61 37 5
33 71 8
54 40 9
144 141 3
114 144 9
55 89 4
139 13 8
145 9 9
29 40 2
7 47 3
34 108 3
70 12 1
9 123 4
7 83 2
40 137 3
145 33 9
145 76 8
6 26 9
120 21 8
35 30 9
57 51 7
72 140 9
91 54 3
33 34 5
124 94 6
15 6 6
128 11 4
124 137 8
69 88 4
55 131 5
64 58 7
13 82 8
64 145 5
45 98 7
2 71 4
133 9 8
75 42 5
106 46 2
5 48 7
122 76 2
141 79 8
65 129 2
62 138 3
15 42 6
135 134 2
101 102 2
50 133 4
107 33 8
122 124 6
10 70 9
25 11 2
85 59 2
8 35 2
92 62 1
109 21 3
36 26 7
3 55 9
149 79 5
19 1 6
