rozmiar;gestosc
20;0.25
algorytm;struktura;ms;micros
Kruskal;lista;0;154
Kruskal;macierz;1;1072
Prim;lista;0;63
Prim;macierz;0;796
Dijkstra;lista;0;47
Dijkstra;macierz;0;45
Bellman-Ford;lista;0;45
Bellman-Ford;macierz;0;192
rozmiar;gestosc
20;0.5
algorytm;struktura;ms;micros
Kruskal;lista;0;271
Kruskal;macierz;1;1102
Prim;lista;0;92
Prim;macierz;0;794
Dijkstra;lista;0;50
Dijkstra;macierz;0;49
Bellman-Ford;lista;0;77
Bellman-Ford;macierz;0;251
rozmiar;gestosc
20;0.75
algorytm;struktura;ms;micros
Kruskal;lista;0;405
Kruskal;macierz;1;1178
Prim;lista;0;111
Prim;macierz;0;698
Dijkstra;lista;0;61
Dijkstra;macierz;0;46
Bellman-Ford;lista;0;132
Bellman-Ford;macierz;0;215
rozmiar;gestosc
20;0.99
algorytm;struktura;ms;micros
Kruskal;lista;0;548
Kruskal;macierz;1;1318
Prim;lista;0;128
Prim;macierz;0;700
Dijkstra;lista;0;68
Dijkstra;macierz;0;34
Bellman-Ford;lista;0;150
Bellman-Ford;macierz;0;142
rozmiar;gestosc
40;0.25
algorytm;struktura;ms;micros
Kruskal;lista;0;612
Kruskal;macierz;10;10105
Prim;lista;0;196
Prim;macierz;3;3096
Dijkstra;lista;0;135
Dijkstra;macierz;0;157
Bellman-Ford;lista;0;455
Bellman-Ford;macierz;1;1604
rozmiar;gestosc
40;0.5
algorytm;struktura;ms;micros
Kruskal;lista;1;1444
Kruskal;macierz;11;11817
Prim;lista;0;283
Prim;macierz;2;2749
Dijkstra;lista;0;150
Dijkstra;macierz;0;173
Bellman-Ford;lista;0;843
Bellman-Ford;macierz;2;2909
rozmiar;gestosc
40;0.75
algorytm;struktura;ms;micros
Kruskal;lista;2;2232
Kruskal;macierz;13;13264
Prim;lista;0;365
Prim;macierz;2;2590
Dijkstra;lista;0;186
Dijkstra;macierz;0;154
Bellman-Ford;lista;1;1586
Bellman-Ford;macierz;1;1716
rozmiar;gestosc
40;0.99
algorytm;struktura;ms;micros
Kruskal;lista;2;2865
Kruskal;macierz;15;15637
Prim;lista;0;418
Prim;macierz;2;2671
Dijkstra;lista;0;208
Dijkstra;macierz;0;111
Bellman-Ford;lista;2;2517
Bellman-Ford;macierz;1;1067
rozmiar;gestosc
60;0.25
algorytm;struktura;ms;micros
Kruskal;lista;1;1453
Kruskal;macierz;40;40861
Prim;lista;0;378
Prim;macierz;9;9048
Dijkstra;lista;0;227
Dijkstra;macierz;0;325
Bellman-Ford;lista;1;1491
Bellman-Ford;macierz;6;6614
rozmiar;gestosc
60;0.5
algorytm;struktura;ms;micros
Kruskal;lista;3;3912
Kruskal;macierz;52;52771
Prim;lista;0;766
Prim;macierz;8;8243
Dijkstra;lista;0;344
Dijkstra;macierz;0;360
Bellman-Ford;lista;4;4583
Bellman-Ford;macierz;12;12603
rozmiar;gestosc
60;0.75
algorytm;struktura;ms;micros
Kruskal;lista;6;6515
Kruskal;macierz;68;68547
Prim;lista;0;869
Prim;macierz;8;8152
Dijkstra;lista;0;429
Dijkstra;macierz;0;310
Bellman-Ford;lista;7;7277
Bellman-Ford;macierz;7;7522
rozmiar;gestosc
60;0.99
algorytm;struktura;ms;micros
Kruskal;lista;8;8587
Kruskal;macierz;72;72649
Prim;lista;1;1090
Prim;macierz;8;8290
Dijkstra;lista;0;616
Dijkstra;macierz;0;225
Bellman-Ford;lista;11;11449
Bellman-Ford;macierz;3;3612
rozmiar;gestosc
80;0.25
algorytm;struktura;ms;micros
Kruskal;lista;3;3107
Kruskal;macierz;122;122140
Prim;lista;0;737
Prim;macierz;14;14437
Dijkstra;lista;0;430
Dijkstra;macierz;0;537
Bellman-Ford;lista;5;5240
Bellman-Ford;macierz;18;18643
rozmiar;gestosc
80;0.5
algorytm;struktura;ms;micros
Kruskal;lista;8;8179
Kruskal;macierz;180;180511
Prim;lista;1;1307
Prim;macierz;14;14134
Dijkstra;lista;0;688
Dijkstra;macierz;0;608
Bellman-Ford;lista;12;12803
Bellman-Ford;macierz;32;32775
rozmiar;gestosc
80;0.75
algorytm;struktura;ms;micros
Kruskal;lista;12;12922
Kruskal;macierz;212;212552
Prim;lista;1;1881
Prim;macierz;14;14150
Dijkstra;lista;0;999
Dijkstra;macierz;0;526
Bellman-Ford;lista;21;21519
Bellman-Ford;macierz;21;21139
rozmiar;gestosc
80;0.99
algorytm;struktura;ms;micros
Kruskal;lista;18;18131
Kruskal;macierz;252;252014
Prim;lista;2;2295
Prim;macierz;14;14225
Dijkstra;lista;1;1224
Dijkstra;macierz;0;362
Bellman-Ford;lista;30;30687
Bellman-Ford;macierz;8;8576
rozmiar;gestosc
100;0.25
algorytm;struktura;ms;micros
Kruskal;lista;5;5606
Kruskal;macierz;305;305427
Prim;lista;1;1119
Prim;macierz;22;22366
Dijkstra;lista;0;632
Dijkstra;macierz;0;828
Bellman-Ford;lista;11;11707
Bellman-Ford;macierz;40;40346
rozmiar;gestosc
100;0.5
algorytm;struktura;ms;micros
Kruskal;lista;14;14060
Kruskal;macierz;466;466380
Prim;lista;1;1911
Prim;macierz;21;21608
Dijkstra;lista;1;1158
Dijkstra;macierz;0;908
Bellman-Ford;lista;28;28592
Bellman-Ford;macierz;68;68135
rozmiar;gestosc
100;0.75
algorytm;struktura;ms;micros
Kruskal;lista;22;22834
Kruskal;macierz;546;546916
Prim;lista;2;2801
Prim;macierz;22;22873
Dijkstra;lista;1;1731
Dijkstra;macierz;0;841
Bellman-Ford;lista;55;55341
Bellman-Ford;macierz;45;45312
rozmiar;gestosc
100;0.99
algorytm;struktura;ms;micros
Kruskal;lista;31;31439
Kruskal;macierz;555;555428
Prim;lista;3;3903
Prim;macierz;21;21779
Dijkstra;lista;2;2488
Dijkstra;macierz;0;536
Bellman-Ford;lista;91;91650
Bellman-Ford;macierz;15;15267
rozmiar;gestosc
120;0.25
algorytm;struktura;ms;micros
Kruskal;lista;9;9498
Kruskal;macierz;694;694245
Prim;lista;1;1585
Prim;macierz;39;39492
Dijkstra;lista;0;863
Dijkstra;macierz;1;1125
Bellman-Ford;lista;21;21451
Bellman-Ford;macierz;72;72200
rozmiar;gestosc
120;0.5
algorytm;struktura;ms;micros
Kruskal;lista;22;22961
Kruskal;macierz;1009;1009910
Prim;lista;3;3020
Prim;macierz;40;40418
Dijkstra;lista;1;1659
